model,benchmark,category,amb_bias,disamb_bias
Llama-3.2-1B,BBQ,stderr,,
Llama-3.2-1B,BBQ,Age,0.07499999999999996,0.06847826086956532
Llama-3.2-1B,BBQ,Age_stderr,,
Llama-3.2-1B,BBQ,Disability_status,-0.005141388174807225,0.03084832904884327
Llama-3.2-1B,BBQ,Disability_status_stderr,,
Llama-3.2-1B,BBQ,Gender_identity,0.015514809590973178,0.019746121297602226
Llama-3.2-1B,BBQ,Gender_identity_stderr,,
Llama-3.2-1B,BBQ,Nationality,0.014285714285714344,-0.018379850238257278
Llama-3.2-1B,BBQ,Nationality_stderr,,
Llama-3.2-1B,BBQ,Physical_appearance,0.10152284263959385,0.14842578710644672
Llama-3.2-1B,BBQ,Physical_appearance_stderr,,
Llama-3.2-1B,BBQ,Race_ethnicity,-0.016569767441860464,0.013682678311499163
Llama-3.2-1B,BBQ,Race_ethnicity_stderr,,
Llama-3.2-1B,BBQ,Race_x_gender,0.00889724310776946,0.0017543859649122862
Llama-3.2-1B,BBQ,Race_x_gender_stderr,,
Llama-3.2-1B,BBQ,Race_x_SES,0.006093189964157709,-0.01520912547528519
Llama-3.2-1B,BBQ,Race_x_SES_stderr,,
Llama-3.2-1B,BBQ,Religion,0.053333333333333344,0.03741496598639449
Llama-3.2-1B,BBQ,Religion_stderr,,
Llama-3.2-1B,BBQ,SES,0.037004662004662014,0.0452026829979586
Llama-3.2-1B,BBQ,SES_stderr,,
Llama-3.2-1B,BBQ,Sexual_orientation,0.02546296296296305,-0.007058823529411784
Llama-3.2-1B,BBQ,Sexual_orientation_stderr,,
Llama-3.2-1B,EsBBQ,Age,0.010061919504643963,0.025936599423631135
Llama-3.2-1B,EsBBQ,Disabilitystatus,0.02478448275862069,0.06302521008403361
Llama-3.2-1B,EsBBQ,Gender,0.008643617021276596,0.02043269230769229
Llama-3.2-1B,EsBBQ,Lgbtqia,0.05381944444444445,0.0252808988764045
Llama-3.2-1B,EsBBQ,Nationality,-0.005952380952380952,0.017857142857142794
Llama-3.2-1B,EsBBQ,Physicalappearance,-0.00510204081632653,0.05697278911564624
Llama-3.2-1B,EsBBQ,Raceethnicity,0.004071661237785016,0.02652733118971068
Llama-3.2-1B,EsBBQ,Religion,0.0,-0.046296296296296335
Llama-3.2-1B,EsBBQ,Ses,0.021739130434782608,0.08694532727199578
Llama-3.2-1B,EsBBQ,Spanishregion,-0.009259259259259259,0.054216867469879526
Salamandra-2B,BBQ,stderr,,
Salamandra-2B,BBQ,Age,0.02717391304347827,0.01304347826086949
Salamandra-2B,BBQ,Age_stderr,,
Salamandra-2B,BBQ,Disability_status,0.04370179948586112,0.041131105398457546
Salamandra-2B,BBQ,Disability_status_stderr,,
Salamandra-2B,BBQ,Gender_identity,0.0437235543018335,0.0684062059238364
Salamandra-2B,BBQ,Gender_identity_stderr,,
Salamandra-2B,BBQ,Nationality,0.04999999999999996,0.01558441558441559
Salamandra-2B,BBQ,Nationality_stderr,,
Salamandra-2B,BBQ,Physical_appearance,0.09898477157360414,0.13367609254498714
Salamandra-2B,BBQ,Physical_appearance_stderr,,
Salamandra-2B,BBQ,Race_ethnicity,-0.005232558139534908,0.0014547570555716316
Salamandra-2B,BBQ,Race_ethnicity_stderr,,
Salamandra-2B,BBQ,Race_x_gender,-0.003759398496240629,0.003759398496240518
Salamandra-2B,BBQ,Race_x_gender_stderr,,
Salamandra-2B,BBQ,Race_x_SES,0.015412186379928307,0.03771728435552646
Salamandra-2B,BBQ,Race_x_SES_stderr,,
Salamandra-2B,BBQ,Religion,0.02166666666666659,0.020000000000000018
Salamandra-2B,BBQ,Religion_stderr,,
Salamandra-2B,BBQ,SES,0.05303030303030312,0.06355685131195332
Salamandra-2B,BBQ,SES_stderr,,
Salamandra-2B,BBQ,Sexual_orientation,0.0208333333333334,-0.04166666666666663
Salamandra-2B,BBQ,Sexual_orientation_stderr,,
Salamandra-2B,EsBBQ,Age,0.01934984520123839,0.045389048991354486
Salamandra-2B,EsBBQ,Disabilitystatus,0.03017241379310345,0.0031512605042016695
Salamandra-2B,EsBBQ,Gender,-0.004654255319148936,0.025841346153846145
Salamandra-2B,EsBBQ,Lgbtqia,0.029513888888888888,0.018258426966292096
Salamandra-2B,EsBBQ,Nationality,0.005952380952380952,0.0357142857142857
Salamandra-2B,EsBBQ,Physicalappearance,0.017857142857142856,0.05357142857142855
Salamandra-2B,EsBBQ,Raceethnicity,0.005700325732899023,0.014469453376205754
Salamandra-2B,EsBBQ,Religion,-0.009259259259259259,-0.07407407407407401
Salamandra-2B,EsBBQ,Ses,0.02826086956521739,0.06231846160035398
Salamandra-2B,EsBBQ,Spanishregion,0.046296296296296294,-0.009036144578313254
Llama-3.2-3B,BBQ,stderr,,
Llama-3.2-3B,BBQ,Age,0.16304347826086962,0.08478260869565224
Llama-3.2-3B,BBQ,Age_stderr,,
Llama-3.2-3B,BBQ,Disability_status,0.046272493573264795,0.005141388174807249
Llama-3.2-3B,BBQ,Disability_status_stderr,,
Llama-3.2-3B,BBQ,Gender_identity,0.10860366713681247,0.08039492242595214
Llama-3.2-3B,BBQ,Gender_identity_stderr,,
Llama-3.2-3B,BBQ,Nationality,0.04740259740259745,0.03524804177545682
Llama-3.2-3B,BBQ,Nationality_stderr,,
Llama-3.2-3B,BBQ,Physical_appearance,0.17893401015228427,0.09020618556701021
Llama-3.2-3B,BBQ,Physical_appearance_stderr,,
Llama-3.2-3B,BBQ,Race_ethnicity,0.013372093023255704,0.013372093023255704
Llama-3.2-3B,BBQ,Race_ethnicity_stderr,,
Llama-3.2-3B,BBQ,Race_x_gender,0.01403508771929829,0.005012531328320913
Llama-3.2-3B,BBQ,Race_x_gender_stderr,,
Llama-3.2-3B,BBQ,Race_x_SES,0.01523297491039426,-0.00692041522491349
Llama-3.2-3B,BBQ,Race_x_SES_stderr,,
Llama-3.2-3B,BBQ,Religion,0.06000000000000007,0.038397328881469184
Llama-3.2-3B,BBQ,Religion_stderr,,
Llama-3.2-3B,BBQ,SES,0.013694638694638732,0.0017482517482516613
Llama-3.2-3B,BBQ,SES_stderr,,
Llama-3.2-3B,BBQ,Sexual_orientation,0.04861111111111117,0.0092592592592593
Llama-3.2-3B,BBQ,Sexual_orientation_stderr,,
Llama-3.2-3B,EsBBQ,Age,0.027089783281733747,0.04466858789625361
Llama-3.2-3B,EsBBQ,Disabilitystatus,0.022629310344827586,0.054621848739495826
Llama-3.2-3B,EsBBQ,Gender,0.08643617021276596,0.04567307692307687
Llama-3.2-3B,EsBBQ,Lgbtqia,-0.019097222222222224,-0.0786516853932584
Llama-3.2-3B,EsBBQ,Nationality,-0.02976190476190476,-0.029761904761904767
Llama-3.2-3B,EsBBQ,Physicalappearance,0.09693877551020408,0.05442176870748294
Llama-3.2-3B,EsBBQ,Raceethnicity,0.059446254071661236,0.004823151125401992
Llama-3.2-3B,EsBBQ,Religion,0.009259259259259259,-0.01851851851851849
Llama-3.2-3B,EsBBQ,Ses,0.06304347826086956,0.01341070925694976
Llama-3.2-3B,EsBBQ,Spanishregion,0.08024691358024691,-0.015060240963855387
